Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
327992,DICHLOROMETHANE,YES,NO,YES,Pounds,57.15,846.67,0,846.67
327992,ETHYL ACRYLATE,YES,NO,YES,Pounds,0.26,3.86,0,3.86
311513,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
332313,MANGANESE,YES,YES,NO,Pounds,0,5,1,6
322121,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.0068,0.0068,0,0.0068
424690,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,0,0,0
221112,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
322121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.02,0.02,0,0.02
325188,NITRIC ACID,NO,NO,NO,Pounds,250,500,0,500
221112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,68000,68000,0,68000
325188,CHLORINE,YES,NO,NO,Pounds,5,1276,0,1276
327910,FORMALDEHYDE,YES,NO,YES,Pounds,537,801,0,801
221112,CHLORODIFLUOROMETHANE,NO,NO,NO,Pounds,0,11008.6,0,11008.6
337127,CHROMIUM,YES,YES,YES,Pounds,0,0,5,5
212399,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,152475,152475,0,152475
221112,VANADIUM COMPOUNDS,NO,YES,NO,Pounds,96,71096,200,71296
221112,NICKEL COMPOUNDS,YES,YES,NO,Pounds,241,47093.61,0,47093.61
333612,METHANOL,YES,NO,NO,Pounds,250,500,0,500
333611,CHROMIUM,YES,YES,YES,Pounds,5,10,0,10
